L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
714260,406,382331,845606,1434144,131977,56510,125,118681,1070,180454230,287115193,50363807
9974138,42,720,10129577,0,3074,56,147023,2926,10300646,175509517,115843,50495458
748167,330,358251,2030297,921174,62794,32790,138,85815,690,180072729,312729382,50487446
800276,304,302201,326,1580788,94781,45545,122,98259,509,182808808,308681812,50356623
800647,297,273866,241,1555910,90098,48023,125,99127,238,182677726,309355309,50305526
816982,293,263579,173,1652786,82701,50368,142,94315,440,183518521,312652511,50359694
789430,245,302191,77,1628907,82593,52630,129,84127,113,184857629,321344764,50334035
803548,312,334644,67,1660543,77108,47739,98,78079,66,186655192,324594717,50324402
738809,376,370983,562,1429026,106589,51285,136,90019,858,180254604,297704535,50414645
734533,293,339528,486,1476919,112939,52503,71,106711,549,180495096,295733557,50311285
733947,245,255826,226,1486835,96044,49783,85,102578,474,178816283,288135694,50366344
762661,229,281754,243,1504632,113687,58734,99,106215,241,175983021,286440560,50371604
739441,198,249209,415,1413638,107167,53262,85,99833,277,176975122,291042657,50347878
745985,218,262350,236,1508567,93443,50365,78,94361,153,175897550,291616433,50286797
731614,219,241793,549,1449407,99180,50300,78,102447,456,177175596,286022806,50327416
736932,326,309497,899,1586162,110894,54492,94,110644,590,176310454,280072997,50388670
748058,221,299604,671,1537291,102330,46637,56,104040,254,174092528,278714554,50305218
741145,231,276102,541,1570811,94377,49619,81,93665,396,176937406,285488908,50300609
794204,246,283868,194,1588932,99671,50587,91,104586,358,180725420,293469407,50364044
767978,248,285201,422,1535442,110496,54359,100,106362,241,179522833,286244560,50260112
749724,223,264295,538,1569244,93940,48502,78,102419,365,176453283,280475058,50366363
723122,283,276989,788,1568537,106033,51696,135,108069,1335,179500034,290659074,50268057
722011,226,321593,793,1651179,101801,51763,72,95547,216,174250389,277363515,50295098
737897,239,270091,556,1571782,101679,49189,72,103717,380,176527822,282597994,50332098
745886,264,258784,556,1613004,102388,50192,116,105288,581,179909278,291322264,50328236
740168,293,265334,358,1548097,97819,46859,57,96276,364,180157382,293566612,50284022
739242,228,253123,281,1517370,94228,48261,85,97398,453,179802360,295443405,50334902
758136,196,251598,213,1535639,97102,47531,79,97907,421,178748872,295196473,50293235
764968,249,259343,148,1677829,89904,50249,98,91612,198,181250356,294478859,50315724
803480,201,238978,111,1740439,75591,50041,118,85655,121,185885955,312744130,50347462
806042,115,213050,136,1733251,73421,51464,159,76310,131,187079431,319143391,50327784
775417,201,208082,196,1651072,75645,53596,151,81582,98,189442055,329514941,50296180
809710,184,213184,85,1651883,94974,50696,89,91670,442,188233362,320945582,50329439
783159,265,231100,117,1664418,87622,53132,94,83804,101,182334573,303208099,50265534
770083,257,252797,837,1542219,109755,46883,75,104670,244,181989334,303113779,50367313
789974,242,214009,176,1666295,102260,50917,62,103191,412,184012160,307587887,50304628
785036,307,218142,125,1674313,84245,48295,103,92321,266,185672404,311366200,50336112
705555,225,211363,1245,1747630,84238,53579,91,77899,4816,171465160,274813286,50270611
645344,143,926537,7438,1045004,93715,33918,72,100541,6116,166454130,240997094,50355225
659311,273,211456,3301,1381325,115401,50127,69,110938,2640,168792907,269208883,50299020
660526,195,216604,2680,1550917,105099,46650,78,108747,2975,171319835,264662470,50280186
613150,215,204588,4727,1487102,91221,40506,66,101952,4548,174618362,270444021,50363227
761777,271,201030,648,1410377,105877,45049,91,107675,383,179998285,298982897,50312152
740476,253,222763,63,1647754,86610,55721,141,72320,97,187243571,334728246,50305986
736106,295,260377,112,1639785,80176,51516,88,96915,260,185217081,307804210,50293785
604215,335,317372,4827,1396723,81645,54974,213,90482,936,173548477,278487598,50263516
646046,255,603825,2867,1414516,98119,44137,152,92890,5875,162496712,211211002,50303178
720243,235,344582,705,1479774,103139,50795,84,106065,866,170843259,257322155,50399565
732038,243,198010,482,1731285,91140,49002,115,95922,975,177856372,290896012,50336002
781247,243,192471,33,1710936,92149,60714,173,95978,447,187021402,318849741,50302981
800936,92,177757,33,1739318,85541,53759,63,93082,381,186136692,324557249,50325503
728300,192,226268,209,1679833,87711,51611,120,98270,2033,176585940,291985979,50314598
767007,264,244544,321,1662375,90488,53341,93,89650,213,180369350,301175982,50335337
667509,223,331717,878,1437435,96090,43828,71,91322,412,168739191,283110221,50312002
680296,301,497587,897,1467698,104701,47067,144,97445,1206,159851354,252413278,50317278
696707,284,313090,1410,1458234,97477,45459,81,105853,970,168214891,273372082,50378444
679677,286,330611,1275,1517233,102045,45270,97,102077,830,170655611,280761917,50330166
729119,320,398826,736,1634833,109152,51330,75,105842,717,168359554,269329623,50405255
702491,303,376778,1065,1643415,113085,52020,138,108648,760,175776185,276142560,50494480
691411,254,259803,466,1749462,103801,48354,103,92739,78,172851616,280656505,50300728
715558,237,210076,191,1649761,85524,52582,103,66832,97,174053770,299408610,50342515
693214,242,214024,265,1501193,105520,49842,65,98542,235,166496054,277527186,50292312
742918,259,234561,371,1477169,89331,47305,69,94000,289,166519425,274168856,50454805
704367,247,219762,430,1454959,103091,49146,94,105261,342,167196193,276301659,50308903
728528,157,194313,156,1622395,101853,49529,56,93922,408,174625399,301113878,50280757
798674,197,214773,212,1700482,91569,50954,72,92501,50,188249467,324684560,50301278
820679,228,191393,112,1785044,82955,56464,113,86125,119,188769446,324154202,50336959
809451,238,188253,12,1714747,79583,53647,65,83229,69,185663695,317758300,50285298
742994,186,178792,58,1722815,87065,47737,60,84424,424,176133348,303525242,50326189
685883,263,195715,251,1599774,94971,45074,68,94472,446,163977942,275484563,50276895
704558,240,162126,481,1592135,89855,44615,99,95777,564,164269895,272404281,50276818
656049,226,156175,706,1605326,97232,49853,63,102657,708,162082764,269556229,50325395
717227,146,184152,121,1865116,94492,55869,76,93320,587,174145165,292978761,50332194
757507,70,236350,211,1839291,91471,53929,96,84422,296,188614084,321769827,50298688
785052,120,199147,136,1803782,75891,51427,88,77388,32,189949851,322974740,50336580
778340,174,187627,81,1682208,82432,51865,75,80515,10,183019858,316884908,50289515
768748,233,194942,75,1649499,79044,54992,103,82087,131,179420803,306649845,50334090
700537,204,186242,655,1503565,101135,48315,66,95130,297,163947963,280951281,50305437
714706,223,160293,629,1527906,104963,49311,72,99620,279,165008932,274051426,50302134
707797,199,164011,625,1575545,97219,45290,69,101899,864,164432702,275436583,50268656
729091,256,164333,635,1574276,100552,47808,72,92473,417,165397916,269044546,50313281
759678,309,168976,581,1612843,109667,50538,66,100460,396,168917231,284937495,50304192
823486,107,189658,212,1782183,92432,56328,97,94063,125,189579358,327099285,50327178
864452,135,179469,185,1673118,93703,63430,135,97803,56,188153987,326203040,50309524
887502,81,200663,156,1810165,88290,59640,100,99059,50,190221787,325212251,50328074
808978,142,206971,91,1771229,83465,62055,125,84112,141,189165773,325378551,50291750
835529,77,215617,120,1767185,80371,54771,125,86960,188,189538259,328711279,50332413
789365,280,195558,85,1736654,70905,50000,186,70530,245,183108611,317594376,50295650
811385,255,196572,85,1777112,71583,53292,118,79925,75,189058676,327967616,50331863
767273,207,254250,111,1832731,78688,55385,137,78073,97,190073121,328792696,50286740
821233,268,222574,94,1865860,79915,56573,98,85292,25,189500470,321962575,50295910
848237,322,607443,324,1675977,97004,53700,153,70575,88,186515014,320922036,50298613
800553,127,220889,60,1825007,84696,57450,156,94320,167,189363192,324944671,50324029
842023,108,207365,75,1741764,86191,58793,140,82699,65,188855377,324620286,50292978
802752,196,214417,127,1740725,74735,52552,156,77396,214,189076147,329239937,50313319
