L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-store-misses,L2-load-misses,cycles,instructions,ns
83316591,13013,487169,1206993,53786003,26002361,20658874,722152,1315134,26278608,6793704956,5496182180,3001100676
84516188,13249,573138,1283837,56048759,26523954,20760855,723365,1268839,26229661,7077333011,5991000371,3000972697
37208515,6327,487448,2644200,89536473,9090142,6806225,743999,1508193,9254390,6382543238,7355160203,2475539578
77939893,24228,3425801,1534167,102994659,12763806,7271741,2340262,1502810,12907045,11526577126,16546400263,4500110634
134716076,18188,2193526,493586,144737933,18375575,16495530,342313,501944,18151115,12371930268,17534490776,4501175938
148672706,15532,2086857,970234,100250205,10482018,3985219,192364,928683,10425270,11887798920,20590692406,4501114798
164340862,15308,1759172,714473,129476155,21076034,15218646,316615,760077,21023931,12198835272,16960154382,4500956869
142885521,8941,1281004,795450,149851775,24186311,19565076,314689,852441,23755806,12228623804,15748486912,4500962192
110696611,8290,997441,1803940,131772337,17357428,13466904,1947617,3511102,17614479,12292942406,16909866871,4501095467
128753854,29633,719684,1657959,84899402,39071623,31829286,553541,1656973,39238509,10587776054,8747804880,4500665981
129142009,24748,490861,1934340,85335963,39813090,32444922,527606,1916839,39814435,10634874410,8940376026,4501436387
128750849,14114,523742,1889896,84704669,39505950,32262236,537198,2026213,39534844,10571024982,8862941390,4505443091
88833889,6922,489753,3297168,122800738,25603541,20504302,753237,4008083,25583467,10703325164,11023164225,4352066495
147127325,13397,2635931,1148071,176411345,15066787,15227456,2383371,1228359,15372523,16540009310,26959380330,6000118481
217448980,14037,1863191,482391,175893871,15820945,11522904,332374,451222,15184452,16637205259,28840244116,6001218045
218498940,12554,2102853,743711,183989602,30841875,23661854,457222,735742,30414411,16316292942,21223836897,6000777524
181283313,12759,1284012,3460119,195755729,27366561,21588512,1145432,1834559,28288668,16353495052,22235624509,6001174361
152904459,20793,999827,2034479,118726429,44453972,35650880,2005238,1914456,44349338,14816291520,14465940156,6001486899
172048830,23474,677848,2595058,113218250,52985096,43368704,715393,2601846,52921152,14230686795,11818215749,6001103923
163772909,13392,940469,2858297,129947722,49345191,40367506,664762,2781855,49347330,14524048284,12294309262,6001427249
6366644,1578,91402,2290994,46491916,355779,27971,257303,554050,291790,2891024123,4219576061,1039426080
1190191,1476,145909,173030,5441994,63753,6521,1148302,141854,56708,873873208,682781595,350126967
3549891,892,507065,457720,14578169,261234,89568,24254,437805,236659,972323474,1203030903,351101498
3874133,467,145433,245300,9366542,268618,114528,184613,190314,320962,958615960,2004433444,350628684
3295563,810,47565,7367,2780050,283884,181050,583783,7282,389742,967943897,2709918582,350608322
8059363,707,114608,23413,4581034,1832990,1660534,58955,25909,1769766,850715356,1172172351,350606800
9482527,1324,163670,13480,14166651,548421,595920,20588,13607,615769,950151517,1466525173,350789590
8731765,1007,186511,19862,12316189,710684,621984,21323,24748,769641,968185872,1651837864,350637695
9865743,730,147419,14112,11638886,783430,804224,22099,13341,787895,973138845,1633955196,350649534
10025847,993,158301,22988,11228631,937481,989674,26915,26476,965980,970368943,1568410667,350630364
10481659,602,168976,21926,10732685,1041707,1017515,25878,19135,978893,974628272,1595478209,350615692
10070649,788,167931,26115,10713973,990129,1025404,26497,24209,969952,974286460,1635875344,350640866
10426284,1278,160378,28615,10707163,1058861,1120079,26935,23182,1035373,970949913,1579513208,350754812
10508557,1019,160453,30278,10661355,1223410,1214456,27494,26813,1158760,973494384,1530744148,350631129
10770656,677,161139,22726,10500035,1149311,1273179,30188,33421,1145081,974474928,1557831760,350802849
10634431,686,143581,29553,10603027,1229710,1364697,30405,24474,1233286,971153923,1483150693,350628502
10409561,1242,152844,42591,10856660,1366653,1378026,31417,40199,1401627,972745457,1365112515,350761933
10592780,641,159328,38010,10381288,1223643,1296903,33734,36091,1225276,975789402,1513706912,350651944
10215903,707,117886,35012,11575552,1516150,1371813,28058,29828,1563575,973381489,1333837454,350715661
10918321,915,246893,31288,12326662,1374765,1293267,27314,21412,1513375,971450622,1257889314,350699004
10794893,852,131764,24277,13098947,1354879,1236133,30321,28317,1340008,971876447,1317756305,350737347
10823695,1043,106686,24677,13218144,1326741,1155954,26518,24728,1353334,970182859,1332211740,350852448
11254367,819,118506,30474,12883320,1729885,1435443,28106,32308,1636201,968123275,1175139324,350764625
11137339,885,155082,38310,12332132,1814040,1575163,31044,31523,1783337,966360212,1210432840,350691637
10899632,994,144656,34135,11015093,1708624,1422685,33046,48444,1617192,949830158,1315415406,350579442
13168974,497,113073,13876,11412582,267564,231033,15457,18702,313191,976014705,1737855630,350903773
10043912,867,66948,14091,9760862,283971,124393,10359,13252,331133,970529723,1989080463,350789124
12028726,684,53382,18515,7822568,364842,149227,9665,31340,365704,975778316,2180673961,351279190
12227236,931,62733,20150,7611920,401510,190639,11448,18832,413637,974104209,2150310091,350782922
12215451,585,58740,12958,10219281,386128,253854,16125,17947,413191,974644995,1853470050,350790003
14217446,950,71609,49371,8283914,694670,302158,17955,34817,583656,973942159,1830971616,350649532
18531695,784,66838,45420,6523773,762136,367193,19764,46772,859737,973458243,1836645031,350628220
13826969,689,54396,14108,8989111,555113,277335,16464,17411,614235,970654242,1868562965,350804600
15853713,1017,66760,34032,8250333,804592,401519,20891,27765,875733,975071413,1748407339,350786588
14620291,709,120233,33924,9533150,659920,354644,21070,31740,619651,975846984,1825313941,350867575
16810018,600,54453,11902,5885825,542971,223862,13745,13314,563749,976239865,2124955962,350829468
13897839,725,60230,22753,6527582,663152,309664,16248,19232,738139,973030638,2010224357,350727412
15991369,559,66119,25368,8707071,910292,504405,20658,23664,826010,977191615,1769048237,350828088
16941612,607,72871,36629,8491538,928854,518328,21209,35581,850972,970140981,1661904694,350818562
12417678,727,119204,27123,10777104,1091478,789109,26192,41236,1227818,968326140,1570977785,350677040
11748321,873,127772,41082,11785524,1762013,1389168,32717,44708,1837105,965225570,1179899188,350795754
11828368,451,104408,47577,11957763,1998207,1563564,32132,51912,2021281,946835208,1072334458,350861850
11674440,820,137853,43432,11973675,1965758,1593468,32335,39192,1989811,954952225,1115338163,350874440
11695989,1199,117853,52860,11253695,2310888,1785931,28837,49951,2293359,941596738,959915985,350782641
11199122,1991,168128,45040,11240976,2172245,1628982,30500,64428,2227381,944272156,1041161398,350679966
9984532,908,245588,74001,8099912,2197753,1362959,26672,74641,2241748,941127740,780561691,350690311
9334163,2677,568285,86922,7786977,2491415,1422364,37096,78102,2400193,925093397,643395739,350741960
11487847,2416,167627,59137,11036823,2364329,1665861,32554,60561,2375835,939254352,912742754,350684439
11591677,920,109022,43144,11838385,2235648,1693439,30698,52857,2186953,941512168,980859723,350679866
11496229,1344,146489,46772,11766595,2139797,1753138,31325,52264,2269029,942403090,978802765,350668510
10769771,2918,312967,66402,9711074,2408879,1660659,34456,66108,2442398,935424095,869428591,350706115
11188154,2292,164413,51577,11030823,2206320,1618028,31628,61901,2153807,934388928,991669734,350626186
10967133,2806,189411,68008,10945511,2392989,1751323,30701,70312,2416556,939966081,972532934,350684743
10006351,3410,347976,91716,8756553,2522086,1515109,32203,93350,2636672,908033331,727607960,350689469
10565059,3288,221719,79894,10108127,2579738,1693536,29336,72568,2599916,928934220,816442594,351072864
10722444,3037,376361,69690,10684928,2387840,1648270,32523,77410,2523483,935822870,855387933,350759129
10037112,3816,367730,122885,9169272,2791023,1724586,30647,132168,2666713,922312703,762927540,350977384
11872789,2468,102815,98955,11042078,2356769,1815252,27497,107926,2622133,942891134,917679488,351231466
10055627,2323,80182,96809,10990941,1954390,1374199,25976,106536,1913367,942421148,1259732592,350651016
7682141,2390,161398,86021,10617203,1121328,576159,20484,112149,1153028,949013175,1517149552,350565855
5735647,1619,345298,154175,5751182,1097910,213000,11145,145943,1118150,789141363,812381871,350669156
9648660,2192,186132,147224,9118652,1364405,713498,18437,145746,1332094,937029171,1344589832,350627660
9348649,2319,203461,125383,10165110,1239077,607783,18027,114529,1237113,950145545,1443656133,350539748
10783437,2595,137113,103706,11132510,867899,371711,14126,110471,696625,947159394,1663234648,350511751
12977868,1114,48226,67792,9979157,1733050,1299407,23079,79241,1614544,955353770,1372728061,350562113
11970715,1067,137570,109440,11059664,2256715,1774787,43356,107255,2041861,944057256,1114036150,350752321
11588313,1011,56064,93934,11777682,2312834,1950612,30973,97866,2193677,942203365,1061332792,350682140
12001489,626,51875,92618,11340282,2371249,1980250,32469,96839,2369098,941941025,1009614042,350706456
11300729,848,88125,97351,12456670,1803598,1343654,28229,93306,1667231,955130511,1273347666,350712503
12972146,742,51667,116893,11579226,2499877,2146386,27455,107767,2687672,941939339,843385146,350676269
7940465,1010,144364,1565516,13499711,1278153,1062159,28567,249453,1450084,954369923,1072766661,350725917
3730412,888,244835,482629,14644806,281228,95647,370546,400821,352537,970109311,1165808208,350726087
1449103,1138,27666,194514,14661,10387,9865,1039931,18,51091,970814493,2000535097,350531526
1877164,972,86393,259929,14144885,203587,16150,124526,124279,64604,972906957,1003355176,350875878
4100891,544,43677,10071,3579849,600300,257243,465827,13371,537204,964529036,2642767102,350755545
8639954,1686,120483,27146,9497709,1770175,1187919,51476,30136,1756881,954408469,1189061394,350762795
9480544,1087,162305,32273,7899572,2527340,1887978,86567,30526,2537034,923315927,823775999,350678604
9704599,844,88549,32327,7007450,2815191,2198310,88163,28731,2840574,861241704,735483597,350831516
10015889,682,65989,76073,6584994,3032242,2436292,85801,61062,3006327,839293148,687772612,350851697
10045174,1113,51156,136362,6577281,3076548,2501855,84145,141395,3131631,837257575,677332537,350797332
10203117,415,41595,133103,6561921,3106816,2504633,85548,128246,3102408,836136181,677662263,350949356
10447763,1313,43815,170780,6541755,3125107,2517704,82382,135188,3111597,833121061,673275632,350857783
10316840,407,33386,148022,6588867,3131393,2525813,81835,145733,3158578,839158634,676916020,350928540
10287187,544,34486,145488,6598634,3107047,2526458,82905,151628,3120171,838012411,677474348,350921611
10153250,1206,38620,147675,6563080,3154021,2506053,80831,199333,3134016,835402707,672493650,350856654
10186774,818,32044,145198,6597079,3154663,2526010,80232,147457,3127154,837780910,676706113,351519815
10156219,746,35908,145893,6598026,3107768,2517775,79527,150701,3115896,833682800,674923521,350619397
10410733,1078,38858,181191,6483033,3209758,2489303,80780,143524,3173887,832171861,670107215,350729214
10163895,1148,34967,148473,6550597,3114675,2526582,79919,140996,3088444,833948766,673605203,350870674
10051076,1846,39971,146569,6535721,3127525,2518377,80298,153829,3132150,828428255,666202931,350941918
10139668,1457,52734,144858,6431134,3228175,2466182,79798,204469,3169066,839295787,672298452,350746991
10095266,1375,34838,145403,6463075,3180776,2489879,79535,143689,3121112,826449386,664302495,350596293
10015302,1448,46915,146619,6602790,3069390,2482141,75481,148489,3112386,836611430,695740549,350780108
10332332,938,51415,174762,7642610,2951119,2421643,46399,132155,2975996,938623354,913708201,350726205
10258243,1131,31698,143108,6925594,3054821,2470940,74908,146623,3006082,866782046,752510266,350690106
10061309,1289,33721,146078,6524675,3123966,2516995,84620,145257,3110116,832905925,671913089,350825890
10052501,1040,41070,147055,6611429,3085960,2514986,84067,154050,3148769,835573032,676039039,350761881
10113007,527,38945,186067,6556578,3128977,2501999,84958,137891,3050357,836791599,684253228,350601159
10135205,432,33793,149198,6605841,3101730,2517485,81807,156797,3093265,837636098,682355946,350923729
10183758,596,32674,146162,6587102,3122446,2519954,81889,141285,3165314,838281067,679295397,350915658
10244501,932,34642,144434,6511550,3154668,2498856,85458,144578,3097814,833164805,674739081,350849457
10250431,981,37063,147335,6557186,3121243,2518361,81863,146971,3139597,835354165,675070218,350889728
10279807,575,34201,143736,6579682,3174436,2517942,82311,144019,3141480,837555153,676935356,350896160
