L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
10072779,375,1263971,157,692197,869,144,6,277,11,187950298,437250535,50251389
9943004,313,1311071,0,748404,72,251,3,31,16,187417720,429120124,50285757
9803229,317,1257945,0,768256,9,216,0,28,0,189125835,433883139,50251758
9905633,367,1362270,0,727466,47,185,0,0,0,189424028,437761716,50244368
10128082,392,1348389,3,732729,56,153,0,9,0,188793996,439273233,50250534
10053819,354,1352919,0,673097,0,200,0,3,0,188761404,446143904,50249909
10012025,377,1283812,0,625599,0,200,6,3,0,189049495,441337891,50250675
10213418,310,1445560,0,641129,0,254,6,3,0,188744880,446101213,50244907
10194892,273,1297548,0,533561,0,109,0,0,0,189012470,450753695,50246417
10121450,277,1368533,0,594647,35,194,6,0,0,190245300,459625845,50250767
10041455,301,1338591,0,655798,2,62,0,18,0,188022117,454526156,50271291
10238133,293,1409720,0,493185,2,106,0,3,0,189728258,447578264,50263971
9809194,341,1421964,22,743374,200,99,12,1137,292,179324700,428808118,50252568
10327760,347,1537257,4,506644,35,143,0,69,0,188219724,439818642,50261453
10315793,297,1388911,0,687092,16,137,0,0,0,189068854,448285907,50249609
10211974,389,1521720,0,549338,35,96,2,27,6,189073254,452956272,50251812
10696111,324,1508488,0,592777,5,151,0,35,0,189186369,447570527,50249294
10703890,360,1570782,8,460608,449,148,0,8,0,189129116,454284070,50246997
10794875,349,1576451,0,532854,18,212,2,35,0,189625418,456114031,50250774
10449066,357,1567829,0,567751,6,150,0,0,2,189818514,454556996,50248128
10371097,320,1579806,0,516221,6,109,0,5,0,189894629,464703527,50252150
10446508,298,1515027,0,502850,9,157,0,11,0,189394960,460097011,50248045
10892715,287,1545996,0,454002,0,157,0,3,0,189911138,463229095,50256029
11053860,361,1726820,0,434402,0,160,0,0,0,189042277,462542815,50252411
10944838,457,1664320,15,410325,392,106,3,235,0,186736375,458438246,50249548
10782262,447,1661327,0,431422,78,109,0,50,0,188421934,461976673,50260405
10881694,281,1677913,0,453512,34,153,0,106,0,189353497,466345946,50255086
10901370,258,1638226,0,432936,3,147,0,9,0,189012883,467145911,50249531
11120168,302,1538163,17,416271,28,97,0,28,0,189468590,468020220,50250792
10851215,290,1576167,3,384678,59,222,0,9,0,189976115,470225974,50251972
11113817,301,1632483,0,385608,9,179,3,31,0,187241967,467331862,50251558
11607962,437,1641076,0,364130,0,210,0,0,0,189877086,469395666,50250479
3436377,12859,657487,161,137735,7,50,12,2061,849,75205213,181456729,20277090
4573806,2194,662869,255,538734,2594,75,3,43,0,183401232,500136006,50100561
4948145,162,177411,0,386918,0,251,0,6,0,189458852,510382825,50279132
5368111,148,175281,0,432250,184,122,0,6,12,188663870,508138497,50256565
6914529,294,482213,60,562173,547,77,0,40,15,184907432,466382309,50253019
7926330,280,780318,11,695285,458,75,3,220,0,188920112,451987592,50306465
8139992,211,869418,0,765471,2,68,6,40,0,189350709,449541444,50252322
8336976,209,802660,0,840844,5,126,5,0,0,188451316,447932397,50249821
8471074,265,903906,0,728909,0,82,5,3,0,190271763,442972311,50255578
