L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-load-misses,L2-store-misses,cycles,instructions,ns
24191119,57050,13716554,261660,2555,420845,21461,26704,144115,239167,180856040,278067942,50327112
28202091,371,14902,65638,13260,212300,21510,12623,322990,188,187882276,252786739,50313890
25387634,59415,12905366,207200,2830,296625,9327,2140,126198,259649,189482060,292863343,50314847
24687069,530,15503,594818,10545,153505,14312,1826,260263,23663,189016409,235069280,50320094
25350047,57466,10652317,164101,3007,345378,11322,1281,193926,208332,188884132,285415252,50283370
26201542,402,77274,101323,9556,77691,3621,1511,188186,58081,189292999,244289733,50300381
17216655,16891,5786981,1316357,1622,85926,3805,3417,82392,218076,189732264,250145135,50313955
22583721,33411,5588001,68284,2323,314935,10914,182,262034,124812,189484677,251745250,50303858
24856522,17498,3954177,639435,5249,85811,3729,3505,81315,198371,189773342,237439107,50355121
21938393,30640,6092422,104877,2483,314841,10965,0,307963,65174,185491317,241367884,50294727
24198137,22583,3292678,578417,8055,154927,3749,3426,86773,242577,188990493,233920315,50354280
23797654,32780,6617461,134770,2728,349761,11105,3,322701,531,190027291,237562410,50337331
20501614,305,112590,143737,10478,200002,17031,1811,89733,112407,189214083,271532797,50324170
24042021,41242,6895816,1256074,35588,327073,4255,3686,73463,243074,189956766,291056654,50294105
24758330,8754,1858818,524490,3553,339888,13692,100,314487,66556,179714621,247069966,50311885
29852133,39701,8857442,140489,1934,72245,4013,3740,73552,243636,189528522,294705261,50335033
28737904,32968,7460575,586960,2625,316839,49623,9444,139408,85995,187748085,265078798,50282956
34550691,7629,2294510,76163,2099,105149,4049,3757,134034,166742,188360092,284582366,50308205
24718723,207,312971,63977,19307,152853,49264,11223,147872,111180,185006059,317837447,50300923
24915873,58797,13675690,276598,26901,121035,21164,42797,408981,1728587,186279726,244321202,50310682
33517141,188,15974,55898,23672,106059,11993,1557,323808,304,186388491,251716244,50294197
25361453,58559,13466071,261208,2762,91366,19335,15841,146650,977773,188547713,279845106,50296048
30148627,381,11464,47917,25784,226454,24233,13747,380708,349,189865509,257422169,50331672
23859984,56103,13978025,250839,2647,230922,9593,2063,144936,244930,187404428,281487677,50336707
27869663,370,13047,50022,14472,151590,19454,4242,249961,11315,189073498,257785158,50294532
21616859,568,202288,1368564,36665,386296,4465,2785,80713,134734,188961965,304729753,50321452
24758667,61837,11137839,178602,2731,338421,10838,687,219652,156452,189436549,260987609,50296259
22158696,3144,10815,581823,10228,197228,17599,2910,150538,118515,189432399,234188547,50320921
25058578,53767,12694825,210536,3099,288036,12945,6,268913,94586,184039608,246417534,50300146
21339059,11199,667188,51257,10538,256382,20834,17199,172136,140616,176151165,233234033,50346311
24000313,36629,9413836,220041,1419,89360,6562,1822,287661,39172,176829710,217995644,50337380
25760810,294,64572,11158,21183,171728,41956,10132,177928,117914,182669488,246032928,50401933
19328616,23632,4931712,130995,2200,106515,3615,26141,401479,1850431,186912104,234113958,50300866
35712049,26072,7919886,176054,1698,72767,5913,2821,258136,55046,189161973,287782984,50330344
27037417,39264,6904687,120509,29385,134134,26404,17695,129356,420064,184852241,283289285,50295929
29601163,15275,5720978,158199,2761,209261,11549,635,333644,47,188746339,275418972,50325721
25995822,53799,9940877,189279,13380,141482,19321,14665,72338,245770,190460204,298581866,50360938
28432469,4780,2012227,123155,9557,352051,13462,0,331270,232,180712214,236451246,50352207
16737928,14978,4778060,1206389,2205,77344,3790,1980,73557,147694,188802581,255923763,50290003
28324482,28349,4576499,83249,2062,151325,4637,3726,86054,261895,187221361,280534556,50323547
27309232,28086,9259095,650445,2002,237763,32135,7049,184930,75523,189702226,248785718,50301730
31086250,14095,883687,5532,2298,220791,14373,3599,85730,227036,189666379,276475178,50347621
27442122,38134,11383064,237797,1683,118348,34422,9741,103513,834502,188370382,262169182,50341027
29349732,5837,24384,226,5866,237733,40321,5145,155401,169833,181462849,251726147,50319394
26833735,308,317445,96262,25188,77595,9674,18974,72966,120658,188829542,286926976,50326576
21476987,63125,13166261,243799,2021,84626,9553,28913,366108,1670893,189120741,253932799,50311968
30277491,6,6642,412,22871,192993,34147,9032,265851,35470,189607916,240309202,50308505
23687173,54108,12759712,239290,1560,86209,3711,3321,174531,850395,189469311,265020716,50243380
30412291,56,6061,326,7429,231678,51488,9737,224632,30687,188523437,225292386,50307992
22961527,47504,10366606,213006,1437,79231,3454,3205,97654,855629,180975427,253301910,50290979
21767418,5858,1201081,272,1979,297103,30815,1300,196774,81200,174807444,181968753,50350100
21029220,560,253545,117102,2181,84289,3095,1559,81946,82003,164323645,233282130,50346895
17915845,25611,5557378,1279446,2810,74769,3577,3300,67921,209297,170193532,214112496,50297918
23078971,22180,4898855,105067,3387,315671,12452,3,316979,33175,170820038,222035141,50310103
25660529,34340,7294575,605994,7628,80792,3553,3225,73269,204210,168419521,259318686,50385961
23944669,14631,3186407,100095,3074,319868,12061,12,312749,182,169728189,209748078,50290651
24734104,45707,8372495,627114,8459,128378,3815,3387,67463,217444,175423026,271309511,50341140
25192742,6819,1462217,71896,4072,358894,12254,9,316953,195,171722620,212082660,50390114
17480693,775,154774,1261490,8924,159779,3311,1782,68780,74166,174391852,241934871,50302770
22573493,52547,10589231,190011,2290,162183,3582,3230,76028,230017,171629060,255103552,50320820
23101015,621,13690,86909,7593,302095,21116,0,331073,148,171525537,206612119,50397367
22879411,52246,11982547,644291,3961,157090,7247,3064,72403,231956,172398920,259457359,50303886
24491375,383,12218,49076,12618,212465,15415,1416,326325,185,172281280,220432277,50325979
22704498,52777,12189555,241853,4569,197700,14860,14325,97526,219794,172209856,264550944,50334796
28208187,333,13109,49814,14802,188339,21404,3945,294692,204,190205920,254344887,50293627
21743777,490,174880,1378627,37226,384621,6447,2588,77185,108879,189873415,311888342,50303138
23210796,58572,13535137,188661,2609,298812,9804,1205,179747,192487,187795850,259482635,50326308
23580002,548,17539,57950,32357,239404,19857,15049,189945,77702,185805160,231233073,50293255
24718691,57748,12567193,247397,2606,217970,10103,634,241544,129953,187434582,254045381,50310609
25902256,6776,11849,44069,27781,205422,24488,17413,210063,755359,189643937,239455488,50308294
26328362,47721,12461106,250784,1546,157349,8237,1263,313263,67942,189132093,250271932,50308467
26415316,72,43024,34034,25312,157616,21785,7166,221464,128065,188832786,261105410,50295369
24058833,22610,3316199,149055,64863,302396,24393,37625,404032,1173925,188664480,273710388,50290089
32558703,34962,9752166,206688,2480,211695,11680,631,341161,56,187548425,287294104,50304341
23377393,35558,5392926,589466,12290,134416,18138,3456,73452,243640,189482067,289677266,50326431
25489419,22820,5232446,114751,3000,381548,13948,6,321058,34466,183619683,242183047,50644653
27243084,40493,8999502,626181,21250,80493,4057,3797,74475,242826,188225883,294330888,50316114
26691853,158,104644,64717,2754,336092,31883,2336,222651,72569,189640643,266484464,50311109
16600127,30147,7902855,787597,2309,76939,3925,11255,79058,971032,181269218,200883039,50289561
31722546,10640,2116532,81619,1923,116380,3860,3748,84111,198662,189451178,273871698,50324078
26280997,45019,12167130,192171,12053,195754,41007,10384,147338,847422,183854272,273118703,50298189
33547790,37,15603,34569,4701,158837,20830,3515,206610,117072,188868310,265866946,50303999
25315255,56494,13619118,252613,17704,93379,17149,13270,151097,882192,189139608,294493412,50340669
31932615,85,10486,29396,21167,121743,15442,5753,306082,36515,174500775,237247302,50314640
22540963,23,327507,200402,62899,169447,18679,16862,200177,126127,189628144,314899882,50356476
24129120,60244,12688150,251412,1556,355654,15482,20397,362476,867297,188826953,262344556,50323837
30417288,157,10155,33179,26334,173752,19962,3189,311531,37129,190019167,231647691,50310283
24174538,61829,13860005,248056,3009,85579,12261,13520,199864,794171,189400729,255686860,50325884
29542971,77,7158,27699,24341,160929,18460,8397,304751,68649,188881995,240893685,50306131
24385186,57804,12875674,244406,2992,84830,3659,11870,188928,779978,187887404,253057090,50299806
29578164,147,13866,322,19868,184621,51475,10147,201389,39485,189466916,241121262,50307018
18284508,8845,1391903,111978,2251,103401,3943,29130,407129,1666070,187970374,235055421,50337109
32499129,42767,11682971,237302,1710,72328,6645,2591,277311,59887,188772958,291337973,50321189
30794358,25187,3592457,69952,29899,128696,25329,17796,130608,215426,189341086,295377212,50300169
29664156,33226,9184624,199526,2589,251157,13150,3,332844,40,189388421,280665954,50329891
24986193,37091,5842539,610594,9807,133096,13943,3619,72750,239613,186968001,285698877,50329603
26598719,16926,4099888,79587,3535,333004,14001,100,293441,57383,185366418,252573379,50294069
17206763,13250,3236512,1196274,7547,73078,3798,2009,89527,174887,189722331,224930785,50310687
30436432,26548,6247830,116200,1848,80188,3983,3748,87595,255502,189699041,279503376,50309884
27820936,35871,8829927,167700,2495,313328,40068,9787,124061,788079,189264942,258288351,50306271
32671497,3568,1799888,76870,2108,126991,3960,3819,171098,157856,189382534,270637943,50288598
26052568,49398,12480735,193939,17651,152593,49828,10594,142809,855921,189825023,296975791,50287064
29596599,60,11480,25236,2029,169716,15041,3209,190302,106183,170641693,233900884,50311890
24204245,430,277697,85028,5540,99703,32746,9281,93554,96248,170331688,251695210,50369039
14649046,45398,9091207,322350,1534,73812,3518,14067,147246,1677810,171467373,170803678,50316375
20203339,31231,4956890,58281,2033,277316,6752,1921,118439,196173,166462845,212880716,50298540
17462563,586,26647,62532,12248,208945,19430,14189,241619,7451,171179867,174390109,50285130
21731105,55779,11875631,242016,2572,195711,8367,1722,173406,175658,176387672,243748526,50325888
