L1-dcache-load-misses,iTLB-load-misses,L1-icache-load-misses,LLC-store-misses,branch-misses:u,LLC-load-misses,dTLB-load-misses,dTLB-store-misses,L2-store-misses,L2-load-misses,cycles,instructions,ns
72250824,36426,3496531,2387568,9770357,15691970,9634761,1211415,2423548,15612939,2428227758,1837076874,1200663260
67703089,67668,5447064,2436848,9366745,15401265,8882916,1116180,2409315,15307241,2393305914,1684963851,1200650751
57147619,98665,5645617,2192620,8245946,14488396,7224345,901305,2113888,14636147,2251811108,1397913757,1200780525
57582493,87688,6191769,2225677,8226783,14647457,7774720,1020103,2300779,14606720,2297432438,1424778761,1200923123
44733216,95300,7771797,1889040,6635471,12748227,5562730,741267,1860847,12496352,2121869523,1046526929,1201147584
44198571,87844,7004207,1872216,7462524,12677573,5599769,714216,1854984,12409730,2282657200,1015359081,1200927716
67525765,64823,4853399,2473455,8822806,15398019,8695114,1173128,2553708,15496876,2378594693,1709186167,1200692823
72675767,58142,3876050,2665019,9745052,16193781,9526348,1273475,2671032,16192866,2476569046,1867238314,1200621453
74640882,43023,3493407,2694779,9969502,16413713,9810748,1324877,2701451,16295907,2503409663,1918598053,1200640139
72769270,57821,4089643,2639969,9951981,16241182,9559013,1266807,2651058,16365401,2496689879,1867061718,1200589577
44850278,87091,7911163,1873601,6921966,12623575,5971221,811695,1927609,12664504,2225527519,1084977389,1200791154
66241028,45187,4204627,2439606,8807948,15004623,8423507,1147952,2420346,14867509,2365142561,1690181189,1201655324
65068987,32863,4693546,2405468,9013539,14718503,8432995,1127518,2361205,14619397,2399064904,1650771355,1200767726
49941547,64794,6118561,1960950,7156817,13140460,6612303,896844,2060997,13605527,2206545083,1263354371,1200735141
72513182,40040,3439962,2563202,9957565,15615298,9596469,1271685,2582387,15606885,2416957378,1878895220,1200822892
67247701,40444,5247941,2173470,9338389,14868324,8614501,1058620,2149242,14847493,2452229297,1728930787,1200801505
67418546,46052,4432372,2161742,9429993,15068738,8625232,1031368,2136308,15028419,2434308324,1721404896,1201785295
78400140,27983,3201205,2723972,10278921,16777982,10118324,1359892,2733078,16669800,2577698108,2010273799,1200714444
35178455,25070,14170125,807674,8625358,7680345,4117907,519770,911840,8290322,2826356933,3428041189,1200767857
16494143,6506,215248,148792,1263983,6054122,2910496,410240,155744,6039166,811528801,631486495,472669026
62282606,308907,43342805,1590375,13688854,6675772,2240257,573375,1600605,6530112,3693961379,3659551018,1500159156
79660831,112761,9511660,2865773,11388303,17769377,9070151,1250030,2882795,17521859,3121733697,2373857637,1501086925
48396091,125323,9999593,2110134,6559706,14868164,5955318,787037,2098026,15006885,2584302432,1044949424,1500973847
76183724,62238,5383331,2794008,10434851,18094994,9776728,1248555,2757588,17964877,2803438650,1864912365,1501115652
92162808,73582,5520765,3088961,14128151,19869087,11822239,1412723,3084286,19938811,3463286298,2312578643,1500889502
100483888,42383,4559278,3225744,13580618,20716568,12977382,1612286,3210821,20912791,3258101774,2553270756,1500876270
81934225,88267,6445609,2996544,10921980,19007481,10708382,1400522,3054081,19195489,2999798932,2035139675,1500836031
69269476,90916,6707065,2571056,9411765,16989212,8792063,1149012,2606866,17559698,2763402497,1688602216,1500657542
81838565,100840,6925305,2755576,11500776,18945091,10687577,1315029,2667720,18534966,2994294816,2054707450,1500753237
100989028,24807,3987777,3158669,13365939,20808953,13212127,1676392,3161330,20743071,3271806183,2598752098,1500849219
100411812,39406,4454494,3076217,13576890,20640088,12896181,1616742,3080667,20743665,3306698064,2607621566,1500840854
66151765,93372,8149608,2267300,9654576,16643815,8481141,1042095,2299308,16639403,2820948061,1651471000,1500858577
99139268,30850,4554405,2937463,13477407,20172417,12889065,1563552,2909980,20070079,3222342672,2594582070,1500892821
99044110,44889,4984747,2930518,13729973,20372433,13039644,1575180,2971815,20405434,3277067409,2584135003,1500841910
95517365,77643,5520065,3019665,13174957,20296480,12543626,1505331,3015726,20381571,3214200019,2446529003,1500725853
64779889,107695,8623158,2305592,9543177,16790214,8276884,987912,2268799,16422816,2822004499,1574076353,1500815736
96213429,40351,4724472,2894930,13159601,19602115,12417450,1464676,2890540,19681121,3160743393,2450048717,1501246408
94790419,35430,4335346,3163167,12641194,20059745,12271594,1507824,3107183,20038180,3146837180,2340391176,1500759059
59106393,112508,7250907,2213110,8523805,16362889,7635386,911112,2198972,16164017,2632382083,1412891573,1501187457
96191607,53861,4502100,3204416,12769531,20175332,12662610,1565825,3210859,20235304,3129833095,2381608509,1500783885
96437943,44633,4626406,3213076,12939593,20221128,12796733,1593232,3206006,20348960,3168392814,2405300634,1500778175
96321665,50596,4208912,3304766,12835816,20336213,12732358,1639333,3327551,20476562,3178360242,2405874433,1500770186
100376064,28807,4004129,3115403,13433013,20596899,13227290,1594004,3102491,20588318,3265436387,2547608443,1500705454
98055159,57937,5004510,3113398,13037514,20623175,12826467,1574966,3127996,20584824,3248691826,2499471376,1500795015
102081224,14521,3713860,3200878,13566896,20642027,13404954,1648640,3141774,20582762,3312412810,2618094819,1500739994
100448392,34386,4332796,3091824,13575578,20623536,13284243,1614401,3075288,20452735,3302918534,2558426680,1500737308
98339674,54892,4661080,2951029,13266781,20395804,12918486,1545365,2977270,20410005,3229930211,2522290219,1500840808
100421484,42945,4913864,3004994,13705651,20570895,13148049,1594612,3042932,20606462,3328431059,2594828702,1500735176
97225858,70692,5397115,2948424,13196210,20629178,12802865,1530295,2943103,20619773,3235498071,2507106042,1500810850
101719369,21775,3858264,3028195,13731223,20798333,13248807,1598944,3027339,20884869,3304939777,2614479609,1500744105
100761748,33829,4082564,3079861,13443071,20856346,13148715,1612044,3068154,20748830,3298610186,2579833479,1500715603
100705459,31151,4156754,2987974,13342775,20944135,13212148,1598721,2986410,20710666,3287598850,2601700599,1500767670
100716352,36618,4135360,3059610,13414870,20833260,13218422,1622141,3051902,20788793,3296668526,2609444207,1500809413
60273376,110563,9602834,2205903,8822889,15842424,7398555,911535,2207636,16338990,2808725041,1432624018,1500869524
